EPEA_Nro,Cruise,Year,Month,Day,Tipo_visita,Month_,Barco,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
40,CC200308,2003,12,3,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
41,CC200310,2003,12,18,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
42,CC200401,2004,1,12,Propia,ene,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
43,CC200402,2004,2,6,Propia,feb,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
44,CC200404,2004,2,25,Propia,feb,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2004,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,CC200406,2004,4,28,Propia,abr,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
46,CC200408,2004,5,28,Propia,may,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
47,CC200410,2004,6,28,Propia,jun,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
48,CC200412,2004,7,21,Propia,jul,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
49,CC200414,2004,8,31,Propia,ago,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
50,CC200417,2004,9,24,Propia,sep,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2004,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2004,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,CC200419,2004,12,27,Oportunista,dic,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
NA,NA,2005,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2005,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,CC200501,2005,3,4,Propia,mar,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
53,CC200503,2005,3,22,Propia,mar,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2005,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2005,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2005,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,CC200504,2005,7,1,Propia,jul,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
55,CC200505,2005,8,17,Propia,ago,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
56,CC200507,2005,9,15,Propia,sep,CC,Temp,NA,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
57,PD200502,2005,10,8,Oportunista,oct,PD,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
58,CC200509,2005,10,28,Propia,oct,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
