Year;Month;Nro_visitas;Tipo_visita;Barco;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2005;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;jul;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2005;ago;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2005;sep;unica;Propia;CC;Temp;NA;NA;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2005;oct;multiple;Propia_Oportunista;PD-CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;ZOO;ICTIO
2005;nov;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2005;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;feb;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2006;mar;multiple;Propia_Oportunista;PD-CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;ZOO;ICTIO
2006;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;sep;multiple;Propia_Oportunista;CC-PD;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2006;oct;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
